representative	catalogue_masks	catalogue_sha256	terminal_evidence
0	904514	f559ed98358e54b45b4bc0bf66f73730b7de1ea3f48631c1a22400adc147c5cb	fresh raw 55-shard audit; join-summary.tsv
1	2736306	c23eb2b59526e436967ef192e5cc61237ddfee6bab52e4f8c346b901b58b2bd6	fresh raw 55-shard audit; join-summary.tsv
2	927674	4281cffa51dd7a286d6238649e39c7fe3ef5e8374444dfab22e36078888f1369	fresh raw 55-shard audit; join-summary.tsv
3	826351	d45c4833321dc6d69e284f5ba296fcea81005add162910fbf1f3eb9fc28fd7e1	fresh raw 55-shard audit; join-summary.tsv
4	1143451	d18b844cbb0a92aa0d002b87a6546efa45be5e73c6cd13f8d78114c943100ec2	fresh raw 55-shard audit; join-summary.tsv
5	749891	186ef7604928fc9fd27c784e5cbcd8483855d50932039eb7268d6cb303adb683	fresh raw 55-shard audit; join-summary.tsv
6	1078354	6adadfc5418715a9c492c0e544703adcc97ff096c4b8bace00ac59b776562b29	fresh raw 55-shard audit; join-summary.tsv
7	1560779	b497fb117d51107f8febd087af2c0539a97f0972e08291b30d308b16359df17c	fresh raw 55-shard audit; join-summary.tsv
8	593706	589129a7c7b75b4d4068c835bae27a1d60fdb4c73e2ea7d55a570b83c1469c96	fresh raw 55-shard audit; join-summary.tsv
9	1870538	0017b628a8c4af3425e9a77639f4516fac2cbad85a72a2ccb4fd430c7129d1bd	fresh raw 55-shard audit; join-summary.tsv
10	1487595	7e11ddab5d905b3d41627c1169a7c37bfea77f2a6f89eaa63ab7c231f07b6093	fresh raw 55-shard audit; join-summary.tsv
11	1477063	5b77d83742091a52b8d67261a07d6eea9a750bcb67281dbb43248cbbcd7c328f	fresh raw 55-shard audit; join-summary.tsv
12	597656	8feac21a04d8524c578080e86cac3ca1afd024351ead5d14bcb9b002fa886559	fresh raw 55-shard audit; join-summary.tsv
13	466964	a15587f5f3993cb5554e8c77608342cc4a62dca59feb0e067d06992727d155c3	fresh raw 55-shard audit; join-summary.tsv
14	2037127	82fe6b2bc957cd1f3ae9bf46efe11d2e3e97a92825b148e25f62e9a3377eb286	fresh raw 55-shard audit; join-summary.tsv
15	499093	7f86816d60ffc0e74020eea836eab30b21410068b9bcc4fad5d0b58047867a05	fresh raw 55-shard audit; join-summary.tsv
16	201976	23eb3a7645fe057278e6a08098053b1e96df7416e279670618dcf27f272c2aa6	fresh raw 55-shard audit; join-summary.tsv
17	1002284	d6e04b6b027de103703ea903c191233dbaa0764df9fafb206d669aec3145dcc3	prior raw 55-shard audit; exact catalogue/result metadata
18	1475372	91520c9c4d50cc1a853145b86e1dc59f465674e55fdd50f69c5b5b16aac924f1	fresh raw 55-shard audit; join-summary.tsv
19	965765	fe621bdc58fc66a4ae6776a23f70db81ef553588cf3a11e8a2c1d7e21e4745e1	fresh raw 55-shard audit; join-summary.tsv
20	371658	664dc8ccfb1e475296257abfd4346e234ccc843d4e6372bd713b29ff8f468266	fresh raw 55-shard audit; join-summary.tsv
21	1265706	dc4cc4e7efbba63c3a84faefc0d5d9c8b42e351f0faa80aeaa5e9a3b9802c7db	fresh raw 55-shard audit; join-summary.tsv
22	1192989	b23b4a8fb6c15250bb6cef895209122918fa42228e4a299e31d820a3116bb1bd	fresh raw 55-shard audit; join-summary.tsv
23	778367	08dc0af6f3188162f9275606743e294e0db1fe92e0edc3808a9940feef570171	fresh raw 55-shard audit; join-summary.tsv
24	1477794	f6c6a7751b77d3cd1b55fdd203daa84e663c2b3a7759b8c2053edf5f68b54294	fresh raw 55-shard audit; join-summary.tsv
25	793178	536d121e964a14fa65bf33c091ace255cd3396e5ea5e45134b4d6078809bbc96	fresh raw 55-shard audit; join-summary.tsv
26	278257	f08f8b62504ca8d3d5b0fc06826e6a78a79111d31b0fdd2dea6d4199158d87cc	fresh raw 55-shard audit; join-summary.tsv
27	378229	fdd3e95ee40b4242e59655e069198aa37cf0095da4702a67629bdf1049bec550	fresh raw 55-shard audit; join-summary.tsv
28	387034	56490599741fc0a079a105085c6870b327ee6207eaf6c891da226df72f16c422	fresh raw 55-shard audit; join-summary.tsv
29	935684	1dc48a2d02ef68798abad2feaf5461d4c5014ea5b3fed19e137ccc729bf51974	fresh raw 55-shard audit; join-summary.tsv
30	825162	e3e864edc2328aa78ad51570397ab5eb27bed5d1422ace3e47f9566d33b32a03	fresh raw 55-shard audit; join-summary.tsv
31	1021250	0d85df201dccdc897764949617af964b9cb7f16f7d5ae90a543165d80c0599c8	fresh raw 55-shard audit; join-summary.tsv
32	1627736	e2c4e10bfd65af71e5ae6aa706c1aa49628e318fdb4170d4c5d7139ebe4d18e2	fresh raw 55-shard audit; join-summary.tsv
33	451200	a52c3ecd2b230cb82e84cbf7b5cd5dcfce297725d8c80fb6997afcf943132480	fresh raw 55-shard audit; join-summary.tsv
34	1323454	5ff7f5c148b80610ca75ea67c3dcbdac2ff391be17e333b395d6c5b6906bcdb5	fresh raw 55-shard audit; join-summary.tsv
35	1241256	425bbbc0633aaacfe0c8974cbadfbd7800441e2a8a634975606fce6a0442094a	fresh raw 55-shard audit; join-summary.tsv
36	1601147	db0ae1c93cd1e1b92075201f2471ed606d9130c0a9176fa8d5cce9c25b668607	fresh raw 55-shard audit; join-summary.tsv
37	433271	28366b838576bc05038d990fac265db26dea53f5647ad85023a251e56792057e	fresh raw 55-shard audit; join-summary.tsv
38	403307	70c0d5fa188184b4d6d1c714f46ad32dffdaff6b5e0aa3f984f3f6f0a1fe68be	fresh raw 55-shard audit; join-summary.tsv
